t,orientacion,energometro,roboscanner,monstroscopio,vacuscopio,posicion_anterior,accion
0,-X,False,False,True,False,"(1, 1, 2)",PROPULSOR
1,-X,False,False,True,False,"(1, 1, 2)",PROPULSOR
2,-X,False,False,True,True,"(1, 1, 2)",REORIENTADOR
3,-Y,False,False,True,False,"(1, 1, 2)",PROPULSOR
4,-Y,False,False,True,False,"(0, 1, 2)",PROPULSOR
5,-Y,False,False,True,True,"(0, 1, 2)",REORIENTADOR
6,+X,False,False,True,False,"(0, 1, 2)",PROPULSOR
7,+X,False,False,True,False,"(0, 0, 2)",PROPULSOR
8,+X,False,False,True,False,"(1, 0, 2)",PROPULSOR
9,+X,False,False,True,False,"(2, 0, 2)",PROPULSOR
10,+X,False,False,True,False,"(3, 0, 2)",PROPULSOR
11,+X,False,False,True,False,"(4, 0, 2)",PROPULSOR
12,+X,False,False,True,True,"(4, 0, 2)",REORIENTADOR
13,+Y,False,False,True,False,"(4, 0, 2)",PROPULSOR
14,+Y,False,False,True,False,"(5, 0, 2)",PROPULSOR
15,+Y,False,False,True,False,"(5, 1, 2)",PROPULSOR
16,+Y,False,False,True,False,"(5, 2, 2)",PROPULSOR
17,+Y,False,False,True,False,"(5, 3, 2)",PROPULSOR
18,+Y,False,False,True,False,"(5, 4, 2)",PROPULSOR
19,+Y,False,False,True,True,"(5, 4, 2)",REORIENTADOR
20,-X,False,False,True,False,"(5, 4, 2)",PROPULSOR
21,-X,False,False,True,False,"(5, 5, 2)",PROPULSOR
22,-X,False,False,True,False,"(4, 5, 2)",PROPULSOR
23,-X,False,False,True,False,"(3, 5, 2)",PROPULSOR
24,-X,False,False,True,False,"(2, 5, 2)",PROPULSOR
25,-X,False,False,True,False,"(1, 5, 2)",PROPULSOR
26,-X,False,False,True,True,"(1, 5, 2)",REORIENTADOR
27,-Y,False,False,True,False,"(1, 5, 2)",PROPULSOR
28,-Y,False,False,True,False,"(0, 5, 2)",PROPULSOR
29,-Y,False,False,True,False,"(0, 4, 2)",PROPULSOR
30,-Y,False,False,True,False,"(0, 3, 2)",PROPULSOR
31,-Y,False,False,True,False,"(0, 2, 2)",PROPULSOR
32,-Y,False,False,True,False,"(0, 1, 2)",PROPULSOR
33,-Y,False,False,True,True,"(0, 1, 2)",REORIENTADOR
34,+X,False,False,True,False,"(0, 1, 2)",PROPULSOR
35,+X,False,False,True,False,"(0, 0, 2)",PROPULSOR
36,+X,False,False,True,False,"(1, 0, 2)",PROPULSOR
37,+X,False,False,True,False,"(2, 0, 2)",PROPULSOR
38,+X,False,False,True,False,"(3, 0, 2)",PROPULSOR
39,+X,False,False,True,False,"(4, 0, 2)",PROPULSOR
40,+X,False,False,True,True,"(4, 0, 2)",REORIENTADOR
41,+Y,False,False,True,False,"(4, 0, 2)",PROPULSOR
42,+Y,False,False,True,False,"(5, 0, 2)",PROPULSOR
43,+Y,False,False,True,False,"(5, 1, 2)",PROPULSOR
44,+Y,False,False,True,False,"(5, 2, 2)",PROPULSOR
45,+Y,False,False,True,False,"(5, 3, 2)",PROPULSOR
46,+Y,False,False,True,False,"(5, 4, 2)",PROPULSOR
47,+Y,False,False,True,True,"(5, 4, 2)",REORIENTADOR
48,-X,False,False,True,False,"(5, 4, 2)",PROPULSOR
49,-X,False,False,True,False,"(5, 5, 2)",PROPULSOR
50,-X,False,False,True,False,"(4, 5, 2)",PROPULSOR
51,-X,False,False,True,False,"(3, 5, 2)",PROPULSOR
52,-X,False,False,True,False,"(2, 5, 2)",PROPULSOR
53,-X,False,False,True,False,"(1, 5, 2)",PROPULSOR
54,-X,False,False,True,True,"(1, 5, 2)",REORIENTADOR
55,-Y,False,False,True,False,"(1, 5, 2)",PROPULSOR
56,-Y,False,False,True,False,"(0, 5, 2)",PROPULSOR
57,-Y,False,False,True,False,"(0, 4, 2)",PROPULSOR
58,-Y,False,False,True,False,"(0, 3, 2)",PROPULSOR
59,-Y,False,False,True,False,"(0, 2, 2)",PROPULSOR
60,+Z,False,False,True,False,"(0, 1, 2)",PROPULSOR
61,+Z,False,False,True,False,"(0, 0, 2)",PROPULSOR
62,+Z,False,False,True,False,"(0, 0, 3)",PROPULSOR
63,+Z,False,False,True,False,"(0, 0, 4)",PROPULSOR
64,+Z,False,False,True,True,"(0, 0, 4)",REORIENTADOR
65,+Y,False,False,True,False,"(0, 0, 4)",PROPULSOR
66,+Y,False,False,True,False,"(0, 0, 5)",PROPULSOR
67,+Y,False,False,True,False,"(0, 1, 5)",PROPULSOR
68,+Y,False,False,True,False,"(0, 2, 5)",PROPULSOR
69,+Y,True,False,True,False,"(0, 3, 5)",VACUUMATOR
